COMPOUND_ID	SOURCES	SYNONYMS	MW_FREEBASE	ALOGP	HBA	HBD	PSA	RTB	RO3_PASS	NUM_RO5_VIOLATIONS	MED_CHEM_FRIENDLY	PCT_IHB_3D7	PCT_INHB_DD2	PCT_INHIB_3D7_PFLDH	pXC50_3D7	PCT_INHIB_HEPG2	IFI	SMILES
538485	TCMDC-124117, 638485 (CHEMBL), COMMERCIAL		411.8797	4.74	3	2	96.25	3	N	0	Y	97	87	0	6.0873	12	2.96	Cc1cc(c2c(c(sc2n1)C(=O)Nc3ccc(cc3)F)N)c4ccc(cc4)Cl
542411	TCMDC-137074, 642411 (CHEMBL)		528.52442	5.758	3	3	86.88	7	N	2	Y	95	37	5	6.35669	40	5.31	CNC(=O)Cc1ccc(cc1)C(=O)Nc2cccc(c2)c3cccc(c3)c4[nH]c5ccc(cc5n4)C(F)(F)F
524838	TCMDC-133409, 624838 (CHEMBL)		304.34584	2.683	3	3	80.03	3	N	0	Y	91	93	0	6.03635	0	1.33	c1ccc(cc1)NC(=O)Nc2ccc(cc2)c3ccc(nc3)N
538523	TCMDC-131760, 638523 (CHEMBL)		260.12766	2.375	3	1	44.48	6	N	0	Y	99	0	0	6.72355	0	.71	c1cc(ccc1OCCCCON)Br.Cl
538674	TCMDC-124768, 638674 (CHEMBL), COMMERCIAL		449.00763	4.735	6	0	129.41	6	N	0	Y	87	34	0	5.8883	3	6.52	CCCS(=O)(=O)c1nc(c(s1)N2CCCCC2)S(=O)(=O)c3ccc(cc3)Cl
538756	TCMDC-132692, 638756 (CHEMBL)		478.5088	5.279	3	2	75.01	6	N	1	Y	100	90	0	6.16779	25	5.77	c1cc(ccc1CN2CCC(CC2)C(=O)N)c3ccc(cc3)c4[nH]c5ccc(cc5n4)C(F)(F)F.C(=O)(C(F)(F)F)O
538758	TCMDC-140510, 638758 (CHEMBL)		457.51286	3.18	6	2	66.85	9	N	0	Y	100	86	0	6.80902	10	.7	COc1ccc2c(c1)c(ccn2)[C@H](CN3CCC(CC3)NCCOc4cc(cc(c4)F)F)O.C(=O)(C(=O)O)O
538759	TCMDC-137569, 638759 (CHEMBL)		390.56426	5.229	4	1	31.4	9	N	1	Y	100	5	4	6.77702	27	5.67	CCCCN1CCN(CC1)CCCCNc2c3ccccc3nc4c2cccc4.Cl
538921	TCMDC-140887, 638921 (CHEMBL)		449.37014	4.993	3	2	69.64	6	N	0	Y	83		2		3	1.47	CCCCNC(=O)C1CCCN(C1)C(=O)c2ccc(c(c2)c3ccc(c(c3)Cl)Cl)O
285857	TCMDC-137864, 385857 (CHEMBL)		255.31828	2.326	4	2	82.75	1	N	0	Y	93	0	2	8.06976	70	3.6	Cc1cc2c(n1C(C)C)ccc3c2c(nc(n3)N)N
538958	TCMDC-131314, 638958 (CHEMBL)		297.34835	2.972	4	0	48.42	3	N	0	Y	99	0	0	6.73824	0	2.82	Cc1cc(cc2c1C(=O)CC(O2)(C)C)OCc3ccncc3
538996	TCMDC-138523, 638996 (CHEMBL)		549.10348	5.716	5	2	73.91	11	N	2	Y	100	46	0	6.19596	19	7.02	CCOc1cc(ccc1N2CCN(CC2)CCCCNC(=O)c3ccc(cc3)NC(=O)c4ccc(cc4)Cl)C.Cl
538997	TCMDC-141858, 638997 (CHEMBL)		435.58165	4.148	4	2	84.05	6	N	0	Y	90	23	0	5.99879	17	.69	Cc1ccc(s1)C(=O)Nc2cccc(c2)CN3CCCN(CC3)Cc4ccc(cc4)O.C(=O)(C(F)(F)F)O
539126	TCMDC-139353, 639126 (CHEMBL)		466.57739	4.393	5	2	73.39	4	N	0	Y	100	95	0	6.67376	4	2.92	Cc1cccc(n1)c2ccc(cc2C)NC(=O)Nc3ccc4c(c3)c(ccn4)N5CCN(CC5)C.Cl
539161	TCMDC-135223, 639161 (CHEMBL)		577.17823	4.321	6	4	119.14	11	N	1	Y	99	97	0	6.09553	6	2.88	CCNc1cc(cc(c1)N2CCCCS2(=O)=O)C(=O)N[C@@H](Cc3ccccc3Cl)[C@@H](CNC4CCCCC4)O.Cl
539162	TCMDC-139707, 639162 (CHEMBL)		491.66638	6.539	2	2	48.13	6	N	1	N	100	88	4	6.13875	28	4.23	c1ccc2cc(ccc2c1)/C=C/C(=O)NC3CCC(CC3)CN4CCC(CC4)c5c[nH]c6c5cccc6
539164	TCMDC-138873, 639164 (CHEMBL)		611.62484	7.194	4	2	98.63	11	N	2	Y	82	19	4	5.9384	22	9.01	CC(=C)Cn1cc(c2c1cccc2)C3CCN(CC3)CCCCNC(=O)c4c(nc(s4)c5ccc(cc5Cl)Cl)CO
541594	TCMDC-133221, 641594 (CHEMBL)		464.4623	6.051	2	3	98.05	4	N	1	Y	100	64	2	6.48168	67	1.96	c1ccc2c(c1)[nH]c(n2)c3cc(cs3)c4ccc(cc4)NC(=O)Nc5ccc(c(c5F)F)F
539200	TCMDC-139663, 639200 (CHEMBL)		480.64373	6.162	3	2	71.92	6	N	1	N	95	59	0	6.09625	0	2.99	Cc1c[nH]c2c1ccc(c2)/C=C/C(=O)NC3CCC(CC3)CCN4CCc5ccc(cc5CC4)C#N.Cl
538259	TCMDC-123803, 638259 (CHEMBL), COMMERCIAL		460.56797	4.109	6	1	66.93	7	N	0	N	99	38	0	6.15665	18	6.8	CCN1CCN(CC1)c2cc(c3cc(ccc3n2)NC(=O)C=Cc4cccc(c4OC)OC)C
538295	TCMDC-124987, 638295 (CHEMBL), COMMERCIAL		407.46559	2.743	7	3	97.4	8	N	0	Y	100	65	0	5.97012	19	3.92	CCNc1cc(nc(n1)Nc2ccc(cc2)NC(=O)c3ccc(c(c3)OC)OC)C
538300	TCMDC-140435, 638300 (CHEMBL)		373.49067	5.777	2	2	57.78	4	N	1	N	93	10	2	5.99599	9	3.7	Cc1cc2c(cc1C)nc([nH]2)c3ccc(cc3)/C=C/C(=O)NC4CCCCC4
538376	TCMDC-135225, 638376 (CHEMBL)		607.24728	5.333	6	4	119.14	15	N	2	Y	98	78	0	6.54514	7	9.72	CCNc1cc(cc(c1)N2CCCCS2(=O)=O)C(=O)N[C@@H](Cc3cccc(c3)Cl)[C@@H](CNC(C)CCCC(C)C)O.Cl
538378	TCMDC-125291, 638378 (CHEMBL), COMMERCIAL		456.92354	4.96	4	2	68.18	5	N	0	N	88	28	0	5.97647	7	2.67	COc1cccc(c1)C2=CC(n3c(c(cn3)C(=O)Nc4ccc(cc4)Cl)N2)c5ccccc5
538382	TCMDC-131474, 638382 (CHEMBL)		463.9197	6.312	3	2	41.48	10	N	1	Y	97	95	0	6.02669	0	4.29	CC(Cc1ccc(c(c1)Cl)OCc2ccccc2)NCC(c3cccc(c3)C(F)(F)F)O
538418	TCMDC-140255, 638418 (CHEMBL)		406.44942	4.164	4	1	50.8	7	N	0	Y	91	87	6	6.02543	3	2.82	CC(=O)Nc1ccc(cc1)CN(Cc2ccc(cc2)F)Cc3ccc4c(c3)OCO4
538419	TCMDC-135882, 638419 (CHEMBL)		530.65781	2.615	6	3	103.79	10	N	1	Y	99	98	4	6.41946	2	0	CCc1ccnc2c1cc(cc2N3CCCC3=O)C(=O)N[C@@H](Cc4ccccc4)[C@@H](CNC5CCOCC5)O.C(=O)O
507953	TCMDC-124209, 607953 (CHEMBL), COMMERCIAL		440.92083	6.965	4	1	43.38	5	N	1	Y	100	99	3	6.16067	40	5.93	Cc1cc(c2cc(ccc2n1)OC)Nc3ccc(c(c3)Cl)Oc4ccc5ccccc5c4
538465	TCMDC-131576, 638465 (CHEMBL)		157.17373	-1.457	6	3	100.22	0	N	0	Y	93	1	0	6.71562	7	0	CC1(N=C(N=C(N1O)N)N)C.Cl
538500	TCMDC-135965, 638500 (CHEMBL)		454.53704	3.448	4	3	99.66	11	N	0	Y	95	86	0	6.15979	2	5.5	CC(C)C[C@@H](C(=O)N[C@@H](CCc1ccccc1)/C=N/NC(=O)C)NC(=O)c2ccc(cc2)F
543049	TCMDC-123891, 643049 (CHEMBL), COMMERCIAL		430.60489	6.599	3	0	57.97	5	N	1	N	100	88	0	6.45974	0	0	CC(C)Sc1nc-2c(c(=O)n1CCc3ccccc3)C4(CCCC4)Cc5c2cccc5
538577	TCMDC-140580, 638577 (CHEMBL)		608.81426	7.39	3	2	47.61	12	N	2	Y	100	59	4	6.75326	95	11.27	c1ccc(cc1)CCNCc2cccc(c2)c3ccccc3CN(C4CCN(CC4)Cc5ccccc5)C(=O)Nc6ccccc6.C(=O)(C(F)(F)F)O
