COMPOUND_ID	FragA	Ca	Cb	IntAB	UnionAB	CommonProp	ExpCommonProp	LogDiffCP	PIa	PIb	PIaU	PIbU	FragEffA	MedPotA	MedPotB	pXC50_3D7	Ratio
28009	5	21	21	1	42	0.0238095238095238	0.0240615976900866	-0.00457375151276085	0.51219512195122	0.51219512195122	0.48780487804878	0.48780487804878	4.2	6.1386	5.93168	5.93174	0.989523809523809
29571	8	140	140	4	277	0.0144404332129964	0.00895811476071342	0.207363600454763	0.507246376811594	0.507246376811594	0.492753623188406	0.492753623188406	17.5	6.05207	6.11861	6.11857	1.61199466614629
29636	26	832	832	48	1617	0.0296846011131725	0.0335687106705546	-0.0534034434268216	0.514851485148515	0.514851485148515	0.485148514851485	0.485148514851485	32	6.12872	6.16623	6.16882	0.884293752134214
29652	23	1143	1143	106	2181	0.0486015589179276	0.0462938985048545	0.0211264445274917	0.524311926605505	0.524311926605505	0.475688073394495	0.475688073394495	49.695652173913	6.11694	6.07351	6.07471	1.04984804666712
29730	25	810	810	52	1569	0.0331421287444232	0.0326853039471349	0.00602787213648104	0.516581632653061	0.516581632653061	0.483418367346939	0.483418367346939	32.4	6.127505	6.21741	6.2204	1.01397645859519
30873	10	130	130	3	258	0.0116279069767442	0.00884319938646501	0.118892131649779	0.505836575875486	0.505836575875486	0.494163424124514	0.494163424124514	13	6.058355	5.9473	5.94704	1.31489820240187
31049	10	130	130	5	256	0.01953125	0.00884319938646501	0.344120621917516	0.509803921568627	0.509803921568627	0.490196078431373	0.490196078431373	13	6.058355	6.00568	6.00618	2.2086180743469
31089	10	130	130	4	257	0.0155642023346304	0.00884319938646501	0.245517450890015	0.5078125	0.5078125	0.4921875	0.4921875	13	6.058355	6.03992	6.03945	1.76001938375971
31093	10	130	130	5	256	0.01953125	0.00884319938646501	0.344120621917516	0.509803921568627	0.509803921568627	0.490196078431373	0.490196078431373	13	6.058355	6.00481	6.00513	2.2086180743469
35411	15	1058	1058	83	2034	0.0408062930186824	0.0427745905791329	-0.0204587175547233	0.520413182488933	0.520413182488933	0.479586817511067	0.479586817511067	70.5333333333333	6.11762	5.94005	5.92573	0.953984420802132
